Franchise,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status
Atlanta Hawks,1968-69,2023-24,56,4492,2217,2275,0.494,36,6.0,0,0,active
St. Louis Hawks,1955-56,1967-68,13,1005,553,452,0.55,12,6.0,0,1,active
Milwaukee Hawks,1951-52,1954-55,4,281,91,190,0.324,0,0.0,0,0,active
Tri-Cities Blackhawks,1949-50,1950-51,2,132,54,78,0.409,1,0.0,0,0,active
Boston Celtics,1946-47,2023-24,78,6087,3613,2474,0.594,60,33.0,10,17,active
Brooklyn Nets,2012-13,2023-24,12,936,435,501,0.465,8,0.0,0,0,active
New Jersey Nets,1977-78,2011-12,35,2822,1186,1636,0.42,16,4.0,2,0,active
New York Nets,1976-77,1976-77,1,82,22,60,0.268,0,0.0,0,0,active
New York Nets,1968-69,1975-76,8,666,338,328,0.508,7,1.0,0,2,active
New Jersey Americans,1967-68,1967-68,1,78,36,42,0.462,0,0.0,0,0,active
Charlotte Hornets,2014-15,2023-24,10,765,331,434,0.433,1,0.0,0,0,active
Charlotte Bobcats,2004-05,2013-14,10,804,293,511,0.364,2,0.0,0,0,active
Charlotte Hornets,1988-89,2001-02,14,1116,542,574,0.486,7,0.0,0,0,active
Chicago Bulls,1966-67,2023-24,58,4653,2370,2283,0.509,37,9.0,6,6,active
Cleveland Cavaliers,1970-71,2023-24,54,4324,2020,2304,0.467,23,7.0,5,1,active
Dallas Mavericks,1980-81,2023-24,44,3516,1779,1737,0.506,24,4.0,2,1,active
Denver Nuggets,1976-77,2023-24,48,3842,1933,1909,0.503,29,10.0,1,1,active
Denver Nuggets,1974-75,1975-76,2,168,125,43,0.744,2,2.0,0,0,active
Denver Rockets,1967-68,1973-74,7,576,288,288,0.5,7,1.0,0,0,active
Detroit Pistons,1957-58,2023-24,67,5351,2508,2843,0.469,34,9.0,5,3,active
Fort Wayne Pistons,1948-49,1956-57,9,619,313,306,0.506,8,2.0,0,0,active
Golden State Warriors,1971-72,2023-24,53,4242,2062,2180,0.486,20,7.0,7,5,active
San Francisco Warriors,1962-63,1970-71,9,729,330,399,0.453,5,2.0,0,0,active
Philadelphia Warriors,1946-47,1961-62,16,1103,558,545,0.506,12,3.0,0,2,active
Houston Rockets,1971-72,2023-24,53,4250,2233,2017,0.525,33,8.0,4,2,active
San Diego Rockets,1967-68,1970-71,4,328,119,209,0.363,1,0.0,0,0,active
Indiana Pacers,1976-77,2023-24,48,3842,1914,1928,0.498,27,6.0,1,0,active
Indiana Pacers,1967-68,1975-76,9,744,427,317,0.574,9,3.0,0,3,active
Los Angeles Clippers,1984-85,2023-24,40,3183,1383,1800,0.434,14,2.0,0,0,active
San Diego Clippers,1978-79,1983-84,6,492,186,306,0.378,0,0.0,0,0,active
Buffalo Braves,1970-71,1977-78,8,656,259,397,0.395,3,0.0,0,0,active
Los Angeles Lakers,1960-61,2023-24,64,5139,3076,2063,0.599,52,29.0,19,12,active
