index,Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,Final Sweep ?,MVP Name,MVP Height (m),MVP Height (ft),MVP Position,MVP Team,MVP Nationality,MVP status
0,1947,Chicago Stags,Philadelphia Warriors,1–4,Philadelphia Warriors,Chicago Stags,,,,,,,,
1,1948,Baltimore Bullets,Philadelphia Warriors,4-2,Baltimore Bullets,Philadelphia Warriors,,,,,,,,
2,1949,Minneapolis Lakers,Washington Capitols,4-2,Minneapolis Lakers,Washington Capitols,,,,,,,,
3,1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,Syracuse Nationals,False,,,,,,,
4,1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,New York Knicks,False,,,,,,,
5,1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,New York Knicks,False,,,,,,,
6,1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,New York Knicks,False,,,,,,,
7,1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,Syracuse Nationals,False,,,,,,,
8,1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,Fort Wayne Pistons,False,,,,,,,
9,1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,False,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final
10,1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,B. Cousy,1.85,6.069554,Guard,Boston Celtics,US,Champion
11,1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Vice-Champion
12,1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,True,B. Pettit,2.06,6.75853,Forward,Saint Louis Hawks,US,Not reached Final
13,1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia Warriors,US,Not reached Final
14,1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion
15,1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion
16,1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion
17,1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,False,O. Robertson,1.96,6.430446,Guard,Cincinnati Royals,US,Not reached Final
18,1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,False,B. Russell,2.08,6.824147,Center,Boston Celtics,US,Champion
19,1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final
20,1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Champion
21,1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,False,W. Chamberlain,2.16,7.086614,Center,Philadelphia 76ers,US,Not reached Final
22,1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,False,W. Unseld,2.01,6.594488,Center,Baltimore Bullets,US,Not reached Final
23,1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,False,W. Reed,2.06,6.75853,Center,New York Knicks,US,Champion
24,1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,True,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Champion
25,1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Not reached Final
26,1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,False,D. Cowens,2.06,6.75853,Center,Boston Celtics,US,Not reached Final
27,1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,False,K. AJabbar,2.18,7.152231,Center,Milwaukee Bucks,US,Vice-Champion
28,1975,Golden State Warriors,Washington Bullets,4–0,Golden State Warriors,Washington Bullets,True,B. McAdoo,2.06,6.75853,Center,Buffalo Braves,US,Not reached Final
29,1976,Phoenix Suns,Boston Celtics,2–4,Boston Celtics,Phoenix Suns,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final
30,1977,Portland Trail Blazers,Philadelphia 76ers,4–2,Portland Trail Blazers,Philadelphia 76ers,False,K. A-Jabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Not reached Final
31,1978,Seattle SuperSonics,Washington Bullets,3–4,Washington Bullets,Seattle SuperSonics,False,B. Walton,2.11,6.922572,Center,Portland Trail Blazers,US,Not reached Final
32,1979,Seattle SuperSonics,Washington Bullets,4–1,Seattle SuperSonics,Washington Bullets,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final
33,1980,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,K. AJabbar,2.18,7.152231,Center,Los Angeles Lakers,US,Champion
34,1981,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,False,J. Erving,2.01,6.594488,Forward,Philadelphia 76ers,US,Not reached Final
35,1982,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,False,M. Malone,2.08,6.824147,Center,Houston Rockets,US,Not reached Final
