Franchise,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status,Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status,player_id,player,num_seasons,first_seas,last_seas,season,team,age
Atlanta Hawks,1968-69,2023-24,56.0,4492.0,2217.0,2275.0,0.494,36.0,6.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
St. Louis Hawks,1955-56,1967-68,13.0,1005.0,553.0,452.0,0.55,12.0,6.0,0.0,1.0,active,,,,,,,,,,,,,,,,,,,
Milwaukee Hawks,1951-52,1954-55,4.0,281.0,91.0,190.0,0.324,0.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Tri-Cities Blackhawks,1949-50,1950-51,2.0,132.0,54.0,78.0,0.409,1.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Boston Celtics,1946-47,2023-24,78.0,6087.0,3613.0,2474.0,0.594,60.0,33.0,10.0,17.0,active,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,2012-13,2023-24,12.0,936.0,435.0,501.0,0.465,8.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
New Jersey Nets,1977-78,2011-12,35.0,2822.0,1186.0,1636.0,0.42,16.0,4.0,2.0,0.0,active,,,,,,,,,,,,,,,,,,,
New York Nets,1976-77,1976-77,1.0,82.0,22.0,60.0,0.268,0.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
New York Nets,1968-69,1975-76,8.0,666.0,338.0,328.0,0.508,7.0,1.0,0.0,2.0,active,,,,,,,,,,,,,,,,,,,
New Jersey Americans,1967-68,1967-68,1.0,78.0,36.0,42.0,0.462,0.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,2014-15,2023-24,10.0,765.0,331.0,434.0,0.433,1.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Charlotte Bobcats,2004-05,2013-14,10.0,804.0,293.0,511.0,0.364,2.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,1988-89,2001-02,14.0,1116.0,542.0,574.0,0.486,7.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1966-67,2023-24,58.0,4653.0,2370.0,2283.0,0.509,37.0,9.0,6.0,6.0,active,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,1970-71,2023-24,54.0,4324.0,2020.0,2304.0,0.467,23.0,7.0,5.0,1.0,active,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,1980-81,2023-24,44.0,3516.0,1779.0,1737.0,0.506,24.0,4.0,2.0,1.0,active,,,,,,,,,,,,,,,,,,,
Denver Nuggets,1976-77,2023-24,48.0,3842.0,1933.0,1909.0,0.503,29.0,10.0,1.0,1.0,active,,,,,,,,,,,,,,,,,,,
Denver Nuggets,1974-75,1975-76,2.0,168.0,125.0,43.0,0.744,2.0,2.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Denver Rockets,1967-68,1973-74,7.0,576.0,288.0,288.0,0.5,7.0,1.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Detroit Pistons,1957-58,2023-24,67.0,5351.0,2508.0,2843.0,0.469,34.0,9.0,5.0,3.0,active,,,,,,,,,,,,,,,,,,,
Fort Wayne Pistons,1948-49,1956-57,9.0,619.0,313.0,306.0,0.506,8.0,2.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Golden State Warriors,1971-72,2023-24,53.0,4242.0,2062.0,2180.0,0.486,20.0,7.0,7.0,5.0,active,,,,,,,,,,,,,,,,,,,
San Francisco Warriors,1962-63,1970-71,9.0,729.0,330.0,399.0,0.453,5.0,2.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Philadelphia Warriors,1946-47,1961-62,16.0,1103.0,558.0,545.0,0.506,12.0,3.0,0.0,2.0,active,,,,,,,,,,,,,,,,,,,
Houston Rockets,1971-72,2023-24,53.0,4250.0,2233.0,2017.0,0.525,33.0,8.0,4.0,2.0,active,,,,,,,,,,,,,,,,,,,
San Diego Rockets,1967-68,1970-71,4.0,328.0,119.0,209.0,0.363,1.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Indiana Pacers,1976-77,2023-24,48.0,3842.0,1914.0,1928.0,0.498,27.0,6.0,1.0,0.0,active,,,,,,,,,,,,,,,,,,,
Indiana Pacers,1967-68,1975-76,9.0,744.0,427.0,317.0,0.574,9.0,3.0,0.0,3.0,active,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,1984-85,2023-24,40.0,3183.0,1383.0,1800.0,0.434,14.0,2.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
San Diego Clippers,1978-79,1983-84,6.0,492.0,186.0,306.0,0.378,0.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Buffalo Braves,1970-71,1977-78,8.0,656.0,259.0,397.0,0.395,3.0,0.0,0.0,0.0,active,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,1960-61,2023-24,64.0,5139.0,3076.0,2063.0,0.599,52.0,29.0,19.0,12.0,active,,,,,,,,,,,,,,,,,,,
