Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status
1947,Chicago Stags,Philadelphia Warriors,1–4,Philadelphia Warriors,Chicago Stags,,,,,
1948,Baltimore Bullets,Philadelphia Warriors,4-2,Baltimore Bullets,Philadelphia Warriors,,,,,
1949,Minneapolis Lakers,Washington Capitols,4-2,Minneapolis Lakers,Washington Capitols,,,,,
1950,Minneapolis Lakers,Syracuse Nationals,4–2,Minneapolis Lakers,Syracuse Nationals,,,,,
1951,Rochester Royals,New York Knicks,4–3,Rochester Royals,New York Knicks,,,,,
1952,Minneapolis Lakers,New York Knicks,4–3,Minneapolis Lakers,New York Knicks,,,,,
1953,Minneapolis Lakers,New York Knicks,4–1,Minneapolis Lakers,New York Knicks,,,,,
1954,Minneapolis Lakers,Syracuse Nationals,4–3,Minneapolis Lakers,Syracuse Nationals,,,,,
1955,Fort Wayne Pistons,Syracuse Nationals,3–4,Syracuse Nationals,Fort Wayne Pistons,,,,,
1956,Fort Wayne Pistons,Philadelphia Warriors,1–4,Philadelphia Warriors,Fort Wayne Pistons,B. Pettit,2.06,Forward,Saint Louis Hawks,Not reached Final
1957,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,B. Cousy,1.85,Guard,Boston Celtics,Champion
1958,St. Louis Hawks,Boston Celtics,4–2,St. Louis Hawks,Boston Celtics,B. Russell,2.08,Center,Boston Celtics,Vice-Champion
1959,Minneapolis Lakers,Boston Celtics,0–4,Boston Celtics,Minneapolis Lakers,B. Pettit,2.06,Forward,Saint Louis Hawks,Not reached Final
1960,St. Louis Hawks,Boston Celtics,3–4,Boston Celtics,St. Louis Hawks,W. Chamberlain,2.16,Center,Philadelphia Warriors,Not reached Final
1961,St. Louis Hawks,Boston Celtics,1–4,Boston Celtics,St. Louis Hawks,B. Russell,2.08,Center,Boston Celtics,Champion
1962,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,B. Russell,2.08,Center,Boston Celtics,Champion
1963,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,B. Russell,2.08,Center,Boston Celtics,Champion
1964,San Francisco Warriors,Boston Celtics,1–4,Boston Celtics,San Francisco Warriors,O. Robertson,1.96,Guard,Cincinnati Royals,Not reached Final
1965,Los Angeles Lakers,Boston Celtics,1–4,Boston Celtics,Los Angeles Lakers,B. Russell,2.08,Center,Boston Celtics,Champion
1966,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,W. Chamberlain,2.16,Center,Philadelphia 76ers,Not reached Final
1967,San Francisco Warriors,Philadelphia 76ers,2–4,Philadelphia 76ers,San Francisco Warriors,W. Chamberlain,2.16,Center,Philadelphia 76ers,Champion
1968,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,W. Chamberlain,2.16,Center,Philadelphia 76ers,Not reached Final
1969,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,W. Unseld,2.01,Center,Baltimore Bullets,Not reached Final
1970,Los Angeles Lakers,New York Knicks,3–4,New York Knicks,Los Angeles Lakers,W. Reed,2.06,Center,New York Knicks,Champion
1971,Milwaukee Bucks,Baltimore Bullets,4–0,Milwaukee Bucks,Baltimore Bullets,K. AJabbar,2.18,Center,Milwaukee Bucks,Champion
1972,Los Angeles Lakers,New York Knicks,4–1,Los Angeles Lakers,New York Knicks,K. AJabbar,2.18,Center,Milwaukee Bucks,Not reached Final
1973,Los Angeles Lakers,New York Knicks,1–4,New York Knicks,Los Angeles Lakers,D. Cowens,2.06,Center,Boston Celtics,Not reached Final
1974,Milwaukee Bucks,Boston Celtics,3–4,Boston Celtics,Milwaukee Bucks,K. AJabbar,2.18,Center,Milwaukee Bucks,Vice-Champion
1975,Golden State Warriors,Washington Bullets,4–0,Golden State Warriors,Washington Bullets,B. McAdoo,2.06,Center,Buffalo Braves,Not reached Final
1976,Phoenix Suns,Boston Celtics,2–4,Boston Celtics,Phoenix Suns,K. AJabbar,2.18,Center,Los Angeles Lakers,Not reached Final
1977,Portland Trail Blazers,Philadelphia 76ers,4–2,Portland Trail Blazers,Philadelphia 76ers,K. A-Jabbar,2.18,Center,Los Angeles Lakers,Not reached Final
