player_id,player,num_seasons,first_seas,last_seas
1,Al Brightman,1,1947,1947
2,Al Lujack,1,1947,1947
3,Al Negratti,1,1947,1947
4,Angelo Musi,3,1947,1949
5,Ariel Maughan,5,1947,1951
6,Armand Cure,1,1947,1947
7,Art Hillhouse,2,1947,1948
8,Art Spector,4,1947,1950
9,Art Stolkey,1,1947,1947
10,Aubrey Davis,1,1947,1947
11,Aud Brindley,1,1947,1947
12,Belus Smawley,6,1947,1952
13,Ben Goldfaden,1,1947,1947
14,Ben Scharnus,2,1947,1949
15,Bill Davis,1,1947,1947
16,Bob Cluggish,1,1947,1947
17,Bob Dille,1,1947,1947
18,Bob Doll,4,1947,1950
19,Bob Duffy,1,1947,1947
20,Bob Faught,1,1947,1947
21,Bob Feerick,4,1947,1950
22,Bob Fitzgerald,2,1947,1949
23,Bob Gantt,1,1947,1947
24,Bob Mullens,1,1947,1947
25,Bob Rensberger,1,1947,1947
26,Bob Shea,1,1947,1947
27,Bones McKinney,6,1947,1952
28,Buck Sydnor,1,1947,1947
29,Bud Palmer,3,1947,1949
30,Buddy O'Grady,3,1947,1949
31,Butch van Breda Kolff,4,1947,1950
32,Cecil Hankins,2,1947,1948
33,Charlie Hoefer,2,1947,1948
34,Chet Aubuchon,1,1947,1947
35,Chet Carlisle,1,1947,1947
36,Chick Halbert,5,1947,1951
37,Chuck Connors,2,1947,1948
38,Chuck Gilmur,5,1947,1951
39,Connie Simmons,10,1947,1956
40,Coulby Gunther,2,1947,1949
41,Deb Smith,1,1947,1947
42,Dick Fitzgerald,2,1947,1948
43,Dick Murphy,1,1947,1947
44,Dick Schulz,4,1947,1950
45,Dino Martin,2,1947,1948
46,Don Carlson,4,1947,1951
47,Don Eliason,1,1947,1947
48,Don Martin,3,1947,1949
49,Don Putman,4,1947,1950
50,Doyle Parrack,1,1947,1947
51,Earl Shannon,3,1947,1949
52,Ed Kasid,1,1947,1947
53,Ed Melvin,1,1947,1947
54,Ed Sadowski,4,1947,1950
55,Elmore Morgenthaler,2,1947,1949
56,Ernie Calverley,3,1947,1949
57,Frank Fucarino,1,1947,1947
58,Frank Mangiapane,1,1947,1947
59,Frankie Baumholtz,1,1947,1947
60,Fred Jacobs,1,1947,1947
61,Fred Scolari,9,1947,1955
62,Fred Sheffield,1,1947,1947
63,Frido Frey,1,1947,1947
64,Garland O'Shields,1,1947,1947
65,Gene Gallette,1,1947,1947
66,George Mearns,2,1947,1948
67,George Munroe,2,1947,1948
68,George Nostrand,4,1947,1950
69,George Pastushok,1,1947,1947
70,George Pearcy,1,1947,1947
71,George Senesky,8,1947,1954
72,Giff Roux,3,1947,1949
73,Gino Sovran,1,1947,1947
74,Gorham Getchell,1,1947,1947
75,Grady Lewis,3,1947,1949
76,Hal Crisler,1,1947,1947
77,Hank Beenders,3,1947,1949
78,Hank Biasatti,1,1947,1947
79,Hank Lefkowitz,1,1947,1947
80,Hank Rosenstein,1,1947,1947
81,Harold Brown,1,1947,1947
82,Harold Johnson,1,1947,1947
83,Harold Kottman,1,1947,1947
84,Harry Miller,1,1947,1947
85,Harry Zeller,1,1947,1947
86,Henry Pearcy,1,1947,1947
87,Herschel Baltimore,1,1947,1947
88,Howie Dallmar,3,1947,1949
89,Howie McCarty,1,1947,1947
90,Irv Rothenberg,3,1947,1949
91,Irv Torgoff,3,1947,1949
92,Jack Garfinkel,3,1947,1949
93,Jake Weber,1,1947,1947
94,Jerry Fleishman,5,1947,1953
95,Jerry Kelly,2,1947,1948
96,Jerry Rullo,4,1947,1950
97,Jim Seminoff,4,1947,1950
98,Joe Fabel,1,1947,1947
99,Joe Fulks,8,1947,1954
100,John Abramovic,2,1947,1948
101,John Barr,1,1947,1947
102,John Janisch,2,1947,1948
103,John Logan,5,1947,1951
104,John Mahnken,7,1947,1953
105,John Mills,1,1947,1947
106,John Murphy,1,1947,1947
107,Johnny Norlander,5,1947,1951
108,Johnny Simmons,1,1947,1947
109,Ken Corley,1,1947,1947
110,Ken Keller,1,1947,1947
