season,team,age
2024-01-01,Atlanta Hawks,26.2
2024-01-01,Boston Celtics,28.2
2024-01-01,Brooklyn Nets,26.1
2024-01-01,Chicago Bulls,28.1
2024-01-01,Charlotte Hornets,25.1
2024-01-01,Cleveland Cavaliers,26.2
2024-01-01,Dallas Mavericks,26.5
2024-01-01,Denver Nuggets,27.1
2024-01-01,Detroit Pistons,23.8
2024-01-01,Golden State Warriors,28.4
2024-01-01,Houston Rockets,25.1
2024-01-01,Indiana Pacers,25.3
2024-01-01,Los Angeles Clippers,30.4
2024-01-01,Los Angeles Lakers,28.0
2024-01-01,Memphis Grizzlies,24.4
2024-01-01,Miami Heat,28.0
2024-01-01,Milwaukee Bucks,30.2
2024-01-01,Minnesota Timberwolves,27.2
2024-01-01,New Orleans Pelicans,26.0
2024-01-01,New York Knicks,26.4
2024-01-01,Oklahoma City Thunder,23.4
2024-01-01,Orlando Magic,24.0
2024-01-01,Philadelphia 76ers,28.4
2024-01-01,Phoenix Suns,29.3
2024-01-01,Portland Trail Blazers,24.1
2024-01-01,Sacramento Kings,26.4
2024-01-01,San Antonio Spurs,23.0
2024-01-01,Toronto Raptors,25.9
2024-01-01,Utah Jazz,25.1
2024-01-01,Washington Wizards,24.9
2024-01-01,League Average,26.6
2023-01-01,Atlanta Hawks,24.9
2023-01-01,Boston Celtics,27.4
2023-01-01,Brooklyn Nets,28.0
2023-01-01,Chicago Bulls,27.5
2023-01-01,Charlotte Hornets,25.3
2023-01-01,Cleveland Cavaliers,25.4
2023-01-01,Dallas Mavericks,27.8
2023-01-01,Denver Nuggets,26.6
2023-01-01,Detroit Pistons,24.1
2023-01-01,Golden State Warriors,27.3
2023-01-01,Houston Rockets,22.1
2023-01-01,Indiana Pacers,24.5
2023-01-01,Los Angeles Clippers,29.7
2023-01-01,Los Angeles Lakers,27.9
2023-01-01,Memphis Grizzlies,24.4
2023-01-01,Miami Heat,27.7
2023-01-01,Milwaukee Bucks,29.8
2023-01-01,Minnesota Timberwolves,25.8
2023-01-01,New Orleans Pelicans,25.9
2023-01-01,New York Knicks,24.5
2023-01-01,Oklahoma City Thunder,22.8
2023-01-01,Orlando Magic,23.1
2023-01-01,Philadelphia 76ers,28.2
2023-01-01,Phoenix Suns,28.1
2023-01-01,Portland Trail Blazers,25.1
2023-01-01,Sacramento Kings,25.4
2023-01-01,San Antonio Spurs,23.9
2023-01-01,Toronto Raptors,25.8
2023-01-01,Utah Jazz,26.5
2023-01-01,Washington Wizards,26.2
2023-01-01,League Average,26.3
2022-01-01,Atlanta Hawks,26.1
2022-01-01,Boston Celtics,26.1
2022-01-01,Brooklyn Nets,29.1
2022-01-01,Chicago Bulls,26.3
2022-01-01,Charlotte Hornets,25.5
2022-01-01,Cleveland Cavaliers,24.7
2022-01-01,Dallas Mavericks,26.7
2022-01-01,Denver Nuggets,27.7
2022-01-01,Detroit Pistons,23.6
2022-01-01,Golden State Warriors,27.6
2022-01-01,Houston Rockets,24.1
2022-01-01,Indiana Pacers,26.0
2022-01-01,Los Angeles Clippers,27.5
2022-01-01,Los Angeles Lakers,30.2
2022-01-01,Memphis Grizzlies,24.0
2022-01-01,Miami Heat,28.2
2022-01-01,Milwaukee Bucks,28.5
2022-01-01,Minnesota Timberwolves,24.2
2022-01-01,New Orleans Pelicans,25.6
2022-01-01,New York Knicks,26.0
2022-01-01,Oklahoma City Thunder,22.4
2022-01-01,Orlando Magic,23.3
2022-01-01,Philadelphia 76ers,26.8
2022-01-01,Phoenix Suns,27.5
2022-01-01,Portland Trail Blazers,25.6
2022-01-01,Sacramento Kings,25.8
2022-01-01,San Antonio Spurs,24.5
2022-01-01,Toronto Raptors,24.8
2022-01-01,Utah Jazz,29.3
2022-01-01,Washington Wizards,25.9
2022-01-01,League Average,26.3
2021-01-01,Atlanta Hawks,25.4
2021-01-01,Boston Celtics,25.1
2021-01-01,Brooklyn Nets,28.2
2021-01-01,Chicago Bulls,25.6
2021-01-01,Charlotte Hornets,24.6
2021-01-01,Cleveland Cavaliers,24.0
2021-01-01,Dallas Mavericks,26.3
2021-01-01,Denver Nuggets,26.1
2021-01-01,Detroit Pistons,24.5
2021-01-01,Golden State Warriors,26.7
2021-01-01,Houston Rockets,26.5
2021-01-01,Indiana Pacers,26.5
2021-01-01,Los Angeles Clippers,28.8
2021-01-01,Los Angeles Lakers,28.2
2021-01-01,Memphis Grizzlies,24.2
2021-01-01,Miami Heat,27.4
2021-01-01,Milwaukee Bucks,28.1
2021-01-01,Minnesota Timberwolves,23.2
2021-01-01,New Orleans Pelicans,24.8
2021-01-01,New York Knicks,25.6
2021-01-01,Oklahoma City Thunder,22.8
2021-01-01,Orlando Magic,25.6
2021-01-01,Philadelphia 76ers,27.1
2021-01-01,Phoenix Suns,26.6
2021-01-01,Portland Trail Blazers,27.4
2021-01-01,Sacramento Kings,25.6
2021-01-01,San Antonio Spurs,26.2
2021-01-01,Toronto Raptors,26.6
2021-01-01,Utah Jazz,28.5
2021-01-01,Washington Wizards,26.6
2021-01-01,League Average,26.3
2020-01-01,Atlanta Hawks,24.1
2020-01-01,Boston Celtics,25.3
2020-01-01,Brooklyn Nets,26.3
2020-01-01,Chicago Bulls,24.4
2020-01-01,Charlotte Hornets,24.3
2020-01-01,Cleveland Cavaliers,25.0
2020-01-01,Dallas Mavericks,26.1
2020-01-01,Denver Nuggets,25.6
2020-01-01,Detroit Pistons,25.9
2020-01-01,Golden State Warriors,24.4
2020-01-01,Houston Rockets,29.2
2020-01-01,Indiana Pacers,25.6
2020-01-01,Los Angeles Clippers,27.4
2020-01-01,Los Angeles Lakers,29.5
2020-01-01,Memphis Grizzlies,24.1
2020-01-01,Miami Heat,25.9
2020-01-01,Milwaukee Bucks,29.2
2020-01-01,Minnesota Timberwolves,24.8
2020-01-01,New Orleans Pelicans,25.4
2020-01-01,New York Knicks,24.5
2020-01-01,Oklahoma City Thunder,25.5
